name,company,year,Price,kms_driven,fuel_type
Maruti Swift,Maruti,Swift,2006,102627,Petrol,Automatic,168140
Volkswagen Polo,Volkswagen,Polo,2021,130154,CNG,Manual,1111905
Kia Sonet,Kia,Sonet,2007,41092,Petrol,Manual,591973
Renault Kwid,Renault,Kwid,2006,171010,Petrol,Automatic,321599
Ford Endeavour,Ford,Endeavour,2009,53529,Diesel,Automatic,635930
Volkswagen Polo,Volkswagen,Polo,2014,132220,Petrol,Manual,481737
Renault Kwid,Renault,Kwid,2011,110582,Diesel,Automatic,174384
Ford Endeavour,Ford,Endeavour,2021,84806,Diesel,Manual,155050
Hyundai Creta,Hyundai,Creta,2016,129988,Petrol,Manual,456534
Hyundai i10,Hyundai,i10,2016,60980,CNG,Automatic,898549
Toyota Glanza,Toyota,Glanza,2005,132353,CNG,Manual,401199
Maruti Swift,Maruti,Swift,2021,31072,Petrol,Manual,614321
Mahindra Scorpio,Mahindra,Scorpio,2006,181377,Petrol,Manual,1188556
Maruti Swift,Maruti,Swift,2019,45037,Petrol,Automatic,1296107
Hyundai Creta,Hyundai,Creta,2015,41552,Petrol,Manual,1242028
Toyota Fortuner,Toyota,Fortuner,2015,158973,Diesel,Automatic,1152959
Ford Endeavour,Ford,Endeavour,2022,140642,CNG,Manual,438487
Ford Endeavour,Ford,Endeavour,2017,163604,Petrol,Automatic,486041
Maruti Swift,Maruti,Swift,2013,61619,Petrol,Manual,1024348
Maruti Dzire,Maruti,Dzire,2018,65248,Petrol,Manual,1240279
Mahindra XUV300,Mahindra,XUV300,2005,107603,CNG,Automatic,143491
Renault Duster,Renault,Duster,2014,45383,Petrol,Automatic,1042658
Toyota Innova,Toyota,Innova,2009,147008,Petrol,Manual,50000
Mahindra XUV500,Mahindra,XUV500,2006,149385,Diesel,Automatic,196962
Hyundai Creta,Hyundai,Creta,2010,69069,Diesel,Manual,1043023
Toyota Glanza,Toyota,Glanza,2013,123955,Petrol,Automatic,719816
Hyundai i20,Hyundai,i20,2021,111960,Petrol,Manual,668855
Honda Jazz,Honda,Jazz,2017,25829,Diesel,Automatic,227912
Mahindra Scorpio,Mahindra,Scorpio,2015,131368,Diesel,Automatic,625923
Volkswagen Vento,Volkswagen,Vento,2011,188293,Petrol,Automatic,393927
Maruti Alto,Maruti,Alto,2015,153619,CNG,Manual,1077251
Renault Kwid,Renault,Kwid,2020,59462,Diesel,Automatic,1229205
Volkswagen Vento,Volkswagen,Vento,2008,175817,Diesel,Manual,816102
Maruti Dzire,Maruti,Dzire,2010,57251,Diesel,Manual,1287977
Kia Seltos,Kia,Seltos,2012,123290,Petrol,Manual,331278
Ford Endeavour,Ford,Endeavour,2006,120794,CNG,Manual,1042523
Renault Kwid,Renault,Kwid,2011,7213,CNG,Automatic,985856
Volkswagen Vento,Volkswagen,Vento,2007,145587,Diesel,Manual,718381
Honda Jazz,Honda,Jazz,2006,21652,Petrol,Manual,1075635
Volkswagen Vento,Volkswagen,Vento,2008,97087,CNG,Manual,1181821
Hyundai i10,Hyundai,i10,2017,57737,Diesel,Automatic,394177
Maruti Baleno,Maruti,Baleno,2014,67424,Diesel,Manual,638112
Kia Sonet,Kia,Sonet,2006,76263,CNG,Manual,698754
Hyundai Creta,Hyundai,Creta,2020,149773,Diesel,Automatic,1066487
Maruti Alto,Maruti,Alto,2016,117022,CNG,Manual,679873
Kia Sonet,Kia,Sonet,2020,164735,Diesel,Manual,741598
Maruti WagonR,Maruti,WagonR,2019,49680,Petrol,Manual,979375
Tata Harrier,Tata,Harrier,2020,134179,CNG,Manual,385239
Honda City,Honda,City,2005,72688,Petrol,Automatic,1152032
Hyundai Creta,Hyundai,Creta,2023,54778,CNG,Automatic,690047
Kia Seltos,Kia,Seltos,2013,143997,Diesel,Manual,405469
Volkswagen Vento,Volkswagen,Vento,2010,7149,CNG,Automatic,219680
Renault Kwid,Renault,Kwid,2011,75736,Diesel,Manual,884538
Mahindra XUV500,Mahindra,XUV500,2018,105911,CNG,Automatic,930492
Volkswagen Vento,Volkswagen,Vento,2023,116027,Diesel,Automatic,832514
Volkswagen Vento,Volkswagen,Vento,2010,84758,CNG,Automatic,1057249
Volkswagen Polo,Volkswagen,Polo,2010,58151,CNG,Automatic,339722
Hyundai Creta,Hyundai,Creta,2014,159184,Petrol,Manual,1001430
Mahindra XUV500,Mahindra,XUV500,2021,111705,CNG,Automatic,1235190
Volkswagen Vento,Volkswagen,Vento,2009,158864,Diesel,Automatic,1035252
Kia Seltos,Kia,Seltos,2014,86173,Diesel,Automatic,464289
Maruti Dzire,Maruti,Dzire,2018,103149,CNG,Manual,134327
Ford EcoSport,Ford,EcoSport,2012,19667,Petrol,Automatic,1126624
Kia Seltos,Kia,Seltos,2011,73235,Diesel,Manual,1014870
Tata Altroz,Tata,Altroz,2017,111164,Diesel,Manual,231900
Maruti Dzire,Maruti,Dzire,2013,132997,Diesel,Automatic,1140742
Honda City,Honda,City,2018,149137,Diesel,Manual,1142156
Tata Altroz,Tata,Altroz,2014,128025,Diesel,Manual,314946
Maruti Dzire,Maruti,Dzire,2015,115799,CNG,Manual,408993
Kia Sonet,Kia,Sonet,2005,100418,Diesel,Manual,549617
Volkswagen Polo,Volkswagen,Polo,2005,55080,Petrol,Automatic,1096778
Mahindra XUV300,Mahindra,XUV300,2015,101029,Diesel,Automatic,945700
Mahindra XUV500,Mahindra,XUV500,2006,132004,Petrol,Automatic,352464
Honda City,Honda,City,2022,41984,CNG,Automatic,897130
Renault Kwid,Renault,Kwid,2022,141633,Diesel,Automatic,648695
Kia Seltos,Kia,Seltos,2012,117379,Diesel,Automatic,960137
Renault Duster,Renault,Duster,2017,71530,CNG,Automatic,790845
Maruti Dzire,Maruti,Dzire,2022,50489,Diesel,Automatic,192446
Tata Harrier,Tata,Harrier,2009,187758,CNG,Automatic,811644
Maruti Baleno,Maruti,Baleno,2020,50406,Diesel,Automatic,1323685
Ford EcoSport,Ford,EcoSport,2006,75697,Diesel,Automatic,289373
Toyota Fortuner,Toyota,Fortuner,2022,144754,Petrol,Manual,862899
Hyundai Creta,Hyundai,Creta,2005,25142,Petrol,Automatic,1095195
Toyota Innova,Toyota,Innova,2018,34733,Petrol,Automatic,803687
Toyota Innova,Toyota,Innova,2023,114925,CNG,Manual,378018
Maruti Swift,Maruti,Swift,2015,155280,CNG,Automatic,669364
Ford EcoSport,Ford,EcoSport,2012,14645,Diesel,Manual,852867
Kia Seltos,Kia,Seltos,2019,20816,Petrol,Manual,793830
Volkswagen Vento,Volkswagen,Vento,2013,184575,CNG,Manual,155837
Maruti WagonR,Maruti,WagonR,2019,171314,CNG,Automatic,1293724
Renault Kwid,Renault,Kwid,2019,157813,CNG,Manual,1238061
Ford Endeavour,Ford,Endeavour,2021,190239,CNG,Manual,1199678
Kia Sonet,Kia,Sonet,2019,92733,Petrol,Automatic,1105452
Hyundai Creta,Hyundai,Creta,2019,24001,Petrol,Manual,1262075
Maruti Dzire,Maruti,Dzire,2020,184096,Petrol,Automatic,118546
Volkswagen Polo,Volkswagen,Polo,2023,27060,Diesel,Manual,1371999
Volkswagen Vento,Volkswagen,Vento,2021,116419,Petrol,Automatic,189424
Volkswagen Vento,Volkswagen,Vento,2006,5220,Petrol,Manual,199602
Mahindra XUV300,Mahindra,XUV300,2007,178182,CNG,Manual,561939
Volkswagen Vento,Volkswagen,Vento,2010,174654,Diesel,Manual,900985
Honda Jazz,Honda,Jazz,2013,78055,Diesel,Automatic,847446
Ford Endeavour,Ford,Endeavour,2022,137820,CNG,Automatic,1262843
Hyundai i10,Hyundai,i10,2019,51779,Petrol,Manual,375578
Mahindra Scorpio,Mahindra,Scorpio,2011,171774,Diesel,Automatic,918638
Mahindra Scorpio,Mahindra,Scorpio,2015,14977,Petrol,Manual,1034479
Renault Kwid,Renault,Kwid,2007,51118,CNG,Automatic,772034
Maruti WagonR,Maruti,WagonR,2012,26628,Diesel,Manual,890675
Tata Tiago,Tata,Tiago,2018,72478,Petrol,Automatic,982304
Renault Duster,Renault,Duster,2019,6070,Diesel,Automatic,1129115
Hyundai Verna,Hyundai,Verna,2010,14732,CNG,Automatic,285479
Maruti WagonR,Maruti,WagonR,2016,197271,Diesel,Manual,583341
Tata Harrier,Tata,Harrier,2013,101198,CNG,Manual,516180
Honda City,Honda,City,2011,173812,Diesel,Automatic,464481
Tata Tiago,Tata,Tiago,2008,162061,Petrol,Manual,50000
Volkswagen Vento,Volkswagen,Vento,2013,66760,Diesel,Automatic,492281
Maruti Alto,Maruti,Alto,2010,184905,Diesel,Automatic,732785
Mahindra XUV500,Mahindra,XUV500,2013,94058,Diesel,Automatic,69950
Hyundai i10,Hyundai,i10,2010,51370,CNG,Automatic,439830
Hyundai Creta,Hyundai,Creta,2013,112498,Diesel,Manual,50000
Honda Amaze,Honda,Amaze,2007,189042,Diesel,Automatic,556197
Honda Amaze,Honda,Amaze,2021,66964,Petrol,Automatic,1082827
Mahindra XUV500,Mahindra,XUV500,2013,24291,Diesel,Manual,1082220
Hyundai i20,Hyundai,i20,2021,17707,Petrol,Automatic,1238507
Kia Seltos,Kia,Seltos,2023,53895,CNG,Automatic,770559
Volkswagen Polo,Volkswagen,Polo,2021,117682,Diesel,Automatic,1124372
Toyota Innova,Toyota,Innova,2018,22410,Petrol,Automatic,837265
Maruti WagonR,Maruti,WagonR,2017,157568,Petrol,Manual,794873
Honda Amaze,Honda,Amaze,2016,170497,Diesel,Automatic,289519
Toyota Innova,Toyota,Innova,2021,59474,Petrol,Automatic,1217397
Hyundai i20,Hyundai,i20,2020,111278,Diesel,Manual,765519
Ford Endeavour,Ford,Endeavour,2005,98320,Petrol,Manual,1138942
Honda City,Honda,City,2010,121787,CNG,Automatic,495467
Honda Amaze,Honda,Amaze,2015,92263,Petrol,Automatic,623258
Renault Kwid,Renault,Kwid,2015,97851,CNG,Automatic,1162493
Ford EcoSport,Ford,EcoSport,2017,59013,Diesel,Manual,353732
Honda Amaze,Honda,Amaze,2006,141739,Diesel,Automatic,762854
Renault Duster,Renault,Duster,2020,122781,Diesel,Automatic,1009079
Kia Sonet,Kia,Sonet,2023,8866,CNG,Automatic,709427
Honda City,Honda,City,2011,178673,CNG,Automatic,1300546
Honda Amaze,Honda,Amaze,2009,85413,Diesel,Automatic,489057
Tata Altroz,Tata,Altroz,2018,45442,Diesel,Automatic,549297
Maruti Baleno,Maruti,Baleno,2022,146780,Petrol,Manual,889475
Hyundai Verna,Hyundai,Verna,2014,143890,CNG,Manual,1181539
Honda Amaze,Honda,Amaze,2005,174070,CNG,Automatic,565366
Mahindra XUV300,Mahindra,XUV300,2017,178858,Diesel,Automatic,850826
Renault Duster,Renault,Duster,2012,62900,Diesel,Automatic,672145
Maruti Alto,Maruti,Alto,2014,135818,Petrol,Automatic,447066
Volkswagen Polo,Volkswagen,Polo,2021,93210,CNG,Manual,940563
Volkswagen Polo,Volkswagen,Polo,2017,73098,CNG,Manual,201785
Kia Seltos,Kia,Seltos,2010,182174,CNG,Manual,562790
Volkswagen Vento,Volkswagen,Vento,2007,167590,Petrol,Automatic,833936
Volkswagen Vento,Volkswagen,Vento,2021,193502,Diesel,Automatic,1003978
Maruti Swift,Maruti,Swift,2005,175562,Petrol,Manual,700183
Honda City,Honda,City,2007,95802,Petrol,Automatic,984672
Tata Tiago,Tata,Tiago,2018,126173,Petrol,Automatic,440283
Ford Endeavour,Ford,Endeavour,2007,89616,CNG,Automatic,736868
Ford EcoSport,Ford,EcoSport,2006,193415,Petrol,Automatic,869856
Honda Amaze,Honda,Amaze,2022,55181,CNG,Manual,1178535
Mahindra XUV300,Mahindra,XUV300,2010,87570,Diesel,Manual,1011690
Honda Jazz,Honda,Jazz,2012,11820,Petrol,Manual,199592
Hyundai i10,Hyundai,i10,2012,53992,Petrol,Automatic,796778
Maruti Baleno,Maruti,Baleno,2009,106717,Diesel,Manual,81586
Toyota Innova,Toyota,Innova,2011,57692,Petrol,Automatic,772133
Toyota Fortuner,Toyota,Fortuner,2015,6819,Petrol,Automatic,781935
Toyota Innova,Toyota,Innova,2014,12672,CNG,Automatic,574757
Maruti Alto,Maruti,Alto,2008,45120,Petrol,Automatic,432156
Maruti Dzire,Maruti,Dzire,2010,158359,CNG,Manual,576378
Honda Jazz,Honda,Jazz,2023,154027,CNG,Manual,1234425
Hyundai i20,Hyundai,i20,2008,68161,Diesel,Automatic,1051124
Ford EcoSport,Ford,EcoSport,2006,133852,Petrol,Manual,313596
Maruti Alto,Maruti,Alto,2018,152709,CNG,Automatic,888399
Tata Altroz,Tata,Altroz,2023,187645,Diesel,Automatic,237822
Maruti Baleno,Maruti,Baleno,2020,174246,CNG,Automatic,235543
Hyundai i20,Hyundai,i20,2010,62499,CNG,Automatic,320108
Honda City,Honda,City,2012,37710,Petrol,Automatic,331270
Maruti Swift,Maruti,Swift,2019,103479,CNG,Automatic,1299177
Hyundai i10,Hyundai,i10,2017,127686,Diesel,Automatic,98306
Ford Endeavour,Ford,Endeavour,2021,106512,Petrol,Manual,276857
Ford EcoSport,Ford,EcoSport,2016,152574,CNG,Manual,892641
Renault Duster,Renault,Duster,2015,152908,Diesel,Manual,894515
Toyota Innova,Toyota,Innova,2017,172633,Petrol,Automatic,227054
Maruti Dzire,Maruti,Dzire,2019,137050,Diesel,Manual,1008779
Kia Seltos,Kia,Seltos,2014,131646,CNG,Manual,1164121
Toyota Glanza,Toyota,Glanza,2016,82995,Petrol,Manual,337261
Toyota Glanza,Toyota,Glanza,2015,60072,CNG,Manual,532866
Maruti Dzire,Maruti,Dzire,2014,156272,Diesel,Manual,670336
Maruti Dzire,Maruti,Dzire,2010,27895,Diesel,Manual,1227707
Hyundai Creta,Hyundai,Creta,2010,79822,Diesel,Manual,200544
Mahindra XUV300,Mahindra,XUV300,2014,80106,CNG,Automatic,640838
Maruti Alto,Maruti,Alto,2007,171181,CNG,Manual,747448
Toyota Fortuner,Toyota,Fortuner,2016,91390,Petrol,Manual,1134112
Renault Duster,Renault,Duster,2013,53019,Petrol,Automatic,466723
Kia Seltos,Kia,Seltos,2021,98831,Petrol,Automatic,783915
Ford Endeavour,Ford,Endeavour,2016,37455,CNG,Automatic,519230
Kia Seltos,Kia,Seltos,2022,48752,Diesel,Manual,1004835
Maruti Baleno,Maruti,Baleno,2010,98470,Petrol,Automatic,746260
Mahindra Scorpio,Mahindra,Scorpio,2016,168551,Petrol,Manual,1324613
Renault Kwid,Renault,Kwid,2016,177078,CNG,Automatic,1159383
Toyota Innova,Toyota,Innova,2008,160961,Petrol,Automatic,780001
Tata Tiago,Tata,Tiago,2006,175196,CNG,Manual,273042
Ford EcoSport,Ford,EcoSport,2020,151090,Petrol,Manual,941325
Volkswagen Polo,Volkswagen,Polo,2018,105290,Diesel,Automatic,772822
Hyundai i20,Hyundai,i20,2021,37665,CNG,Automatic,1218344
Ford EcoSport,Ford,EcoSport,2023,87611,Diesel,Automatic,1022225
Toyota Fortuner,Toyota,Fortuner,2019,58420,Petrol,Automatic,485068
Tata Nexon,Tata,Nexon,2007,148635,CNG,Automatic,50000
Hyundai i20,Hyundai,i20,2021,75626,Diesel,Manual,1278677
Toyota Innova,Toyota,Innova,2007,153843,Petrol,Manual,50000
Ford Endeavour,Ford,Endeavour,2009,146925,CNG,Manual,80929
Toyota Glanza,Toyota,Glanza,2021,186556,Diesel,Manual,1366248
Ford EcoSport,Ford,EcoSport,2014,14120,Diesel,Automatic,706576
Ford Endeavour,Ford,Endeavour,2020,158391,Petrol,Automatic,112261
Tata Altroz,Tata,Altroz,2021,127724,CNG,Automatic,1220775
Ford Endeavour,Ford,Endeavour,2020,191641,Petrol,Automatic,437328
Mahindra Scorpio,Mahindra,Scorpio,2018,16330,CNG,Manual,188106
Hyundai Creta,Hyundai,Creta,2014,62233,CNG,Automatic,1318383
Mahindra XUV300,Mahindra,XUV300,2005,120554,Petrol,Manual,50000
Ford EcoSport,Ford,EcoSport,2016,29171,CNG,Automatic,1239291
Kia Sonet,Kia,Sonet,2014,139379,CNG,Automatic,217521
Tata Altroz,Tata,Altroz,2021,114892,Diesel,Automatic,457539
Mahindra Scorpio,Mahindra,Scorpio,2017,22329,Diesel,Automatic,585647
Toyota Fortuner,Toyota,Fortuner,2012,192878,Petrol,Automatic,671412
Volkswagen Polo,Volkswagen,Polo,2005,115393,CNG,Automatic,50000
Honda Amaze,Honda,Amaze,2020,101185,Petrol,Automatic,1140923
Maruti Baleno,Maruti,Baleno,2009,18369,Petrol,Automatic,285006
Volkswagen Vento,Volkswagen,Vento,2018,10369,CNG,Manual,370832
Tata Altroz,Tata,Altroz,2006,19292,Petrol,Automatic,966600
Mahindra XUV300,Mahindra,XUV300,2019,186658,CNG,Manual,823117
Ford Endeavour,Ford,Endeavour,2013,170473,Petrol,Automatic,1247859
Kia Sonet,Kia,Sonet,2020,59445,Diesel,Manual,395039
Maruti Alto,Maruti,Alto,2018,87645,Diesel,Manual,1221828
Kia Seltos,Kia,Seltos,2016,75245,CNG,Automatic,130252
Honda City,Honda,City,2015,187553,Diesel,Automatic,909894
Maruti Dzire,Maruti,Dzire,2023,168083,CNG,Manual,1089813
Ford Endeavour,Ford,Endeavour,2015,177883,CNG,Automatic,710725
Volkswagen Polo,Volkswagen,Polo,2014,193874,Petrol,Manual,379879
Tata Tiago,Tata,Tiago,2016,143875,Diesel,Automatic,302831
Toyota Fortuner,Toyota,Fortuner,2010,61820,Petrol,Automatic,152972
Mahindra XUV500,Mahindra,XUV500,2010,9563,CNG,Automatic,891387
Ford Endeavour,Ford,Endeavour,2015,139843,CNG,Automatic,1078103
Ford EcoSport,Ford,EcoSport,2023,120085,Diesel,Automatic,346055
Renault Duster,Renault,Duster,2010,38661,Petrol,Automatic,660982
Kia Sonet,Kia,Sonet,2019,130284,CNG,Manual,1274399
Tata Altroz,Tata,Altroz,2016,41373,CNG,Manual,974383
Honda Jazz,Honda,Jazz,2006,84833,CNG,Manual,283540
Tata Altroz,Tata,Altroz,2023,104418,Diesel,Automatic,395035
Mahindra Scorpio,Mahindra,Scorpio,2017,45081,Diesel,Manual,713340
Hyundai Creta,Hyundai,Creta,2008,188569,Diesel,Automatic,1013916
Maruti Alto,Maruti,Alto,2020,53402,Petrol,Manual,1100044
Maruti Alto,Maruti,Alto,2008,34135,Diesel,Automatic,1241795
Volkswagen Vento,Volkswagen,Vento,2015,23769,CNG,Manual,456632
Volkswagen Vento,Volkswagen,Vento,2017,43613,Diesel,Automatic,626227
Tata Harrier,Tata,Harrier,2019,107482,Diesel,Manual,1126960
Maruti Swift,Maruti,Swift,2022,109380,Petrol,Manual,420050
Mahindra XUV500,Mahindra,XUV500,2015,193958,Diesel,Automatic,916903
Toyota Glanza,Toyota,Glanza,2018,126345,CNG,Automatic,1072493
Tata Nexon,Tata,Nexon,2008,55304,Diesel,Automatic,301573
Volkswagen Vento,Volkswagen,Vento,2020,95241,Diesel,Manual,979742
Toyota Fortuner,Toyota,Fortuner,2017,175570,Petrol,Automatic,362733
Ford Endeavour,Ford,Endeavour,2010,116416,Diesel,Automatic,642195
Toyota Fortuner,Toyota,Fortuner,2020,73147,Petrol,Manual,466201
Honda Jazz,Honda,Jazz,2017,137341,Petrol,Automatic,1276731
Maruti Dzire,Maruti,Dzire,2015,108296,CNG,Manual,436427
Mahindra XUV300,Mahindra,XUV300,2015,18594,CNG,Automatic,417977
Kia Sonet,Kia,Sonet,2020,58399,Petrol,Automatic,274789
Toyota Glanza,Toyota,Glanza,2006,24372,Diesel,Manual,1086174
Mahindra XUV300,Mahindra,XUV300,2008,33331,Petrol,Manual,780076
Honda Amaze,Honda,Amaze,2023,105383,Petrol,Manual,290985
Mahindra XUV300,Mahindra,XUV300,2007,6082,Petrol,Automatic,862701
Volkswagen Polo,Volkswagen,Polo,2012,145306,Diesel,Manual,778458
Toyota Fortuner,Toyota,Fortuner,2008,172362,Diesel,Manual,548382
Tata Altroz,Tata,Altroz,2006,37850,Petrol,Manual,443883
Volkswagen Vento,Volkswagen,Vento,2015,132019,Petrol,Manual,864609
Renault Kwid,Renault,Kwid,2018,145486,CNG,Automatic,896644
Toyota Fortuner,Toyota,Fortuner,2012,103243,Diesel,Automatic,779281
Maruti Baleno,Maruti,Baleno,2018,64727,CNG,Manual,1305721
Honda Amaze,Honda,Amaze,2018,103442,CNG,Manual,116592
Ford EcoSport,Ford,EcoSport,2011,15513,CNG,Manual,954086
Maruti Swift,Maruti,Swift,2010,41803,Diesel,Manual,1221083
Volkswagen Vento,Volkswagen,Vento,2023,153598,CNG,Automatic,576220
Maruti Dzire,Maruti,Dzire,2016,37972,Petrol,Automatic,399833
Hyundai Creta,Hyundai,Creta,2012,178497,Diesel,Manual,228626
Kia Sonet,Kia,Sonet,2005,138154,Petrol,Manual,241846
Ford Endeavour,Ford,Endeavour,2014,107511,Petrol,Automatic,1121491
Mahindra XUV500,Mahindra,XUV500,2018,132535,Petrol,Manual,1166490
Kia Sonet,Kia,Sonet,2018,14569,CNG,Automatic,188839
Maruti Dzire,Maruti,Dzire,2005,131114,Diesel,Manual,360328
Toyota Innova,Toyota,Innova,2006,135297,Petrol,Manual,216879
Kia Sonet,Kia,Sonet,2019,62962,Petrol,Manual,1099062
Mahindra XUV300,Mahindra,XUV300,2005,78459,CNG,Manual,886838
Honda Amaze,Honda,Amaze,2013,59261,Diesel,Manual,245274
Hyundai i20,Hyundai,i20,2016,7148,Diesel,Manual,1096869
Maruti WagonR,Maruti,WagonR,2021,186335,Diesel,Manual,784701
Maruti Baleno,Maruti,Baleno,2008,18452,Diesel,Automatic,1035019
Honda Amaze,Honda,Amaze,2011,98130,CNG,Automatic,363803
Mahindra XUV300,Mahindra,XUV300,2011,68667,Diesel,Manual,342000
Honda City,Honda,City,2009,190487,Diesel,Manual,117822
Volkswagen Polo,Volkswagen,Polo,2020,70285,Diesel,Automatic,1023115
Kia Sonet,Kia,Sonet,2018,110917,Diesel,Manual,203408
Mahindra XUV500,Mahindra,XUV500,2023,188122,CNG,Manual,365373
Mahindra XUV300,Mahindra,XUV300,2005,177794,CNG,Automatic,701115
Mahindra Scorpio,Mahindra,Scorpio,2022,64068,CNG,Automatic,164761
Volkswagen Vento,Volkswagen,Vento,2010,90207,CNG,Automatic,1241267
Volkswagen Polo,Volkswagen,Polo,2014,86062,Diesel,Automatic,788967
Volkswagen Vento,Volkswagen,Vento,2018,159389,CNG,Automatic,234620
Kia Seltos,Kia,Seltos,2016,60532,Diesel,Automatic,1323614
Renault Kwid,Renault,Kwid,2019,73680,Petrol,Manual,545128
Tata Harrier,Tata,Harrier,2021,129377,Petrol,Manual,1033456
Hyundai i10,Hyundai,i10,2020,182709,Diesel,Automatic,1250343
Mahindra Scorpio,Mahindra,Scorpio,2016,183719,Diesel,Manual,489920
Honda City,Honda,City,2007,67237,Petrol,Automatic,92736
Mahindra Scorpio,Mahindra,Scorpio,2012,26499,Petrol,Automatic,1182635
Mahindra XUV500,Mahindra,XUV500,2005,124913,Petrol,Automatic,51790
Hyundai Creta,Hyundai,Creta,2007,69649,CNG,Automatic,1089371
Mahindra XUV300,Mahindra,XUV300,2005,59715,Petrol,Automatic,620846
Hyundai Verna,Hyundai,Verna,2022,37742,Petrol,Automatic,269908
Volkswagen Vento,Volkswagen,Vento,2009,145867,Diesel,Automatic,207946
Tata Altroz,Tata,Altroz,2009,144907,Diesel,Manual,471015
Tata Tiago,Tata,Tiago,2007,28053,CNG,Automatic,1127958
Volkswagen Vento,Volkswagen,Vento,2014,135680,Petrol,Automatic,867926
Ford EcoSport,Ford,EcoSport,2007,184410,Petrol,Manual,1054011
Maruti Dzire,Maruti,Dzire,2023,59932,Diesel,Automatic,449214
Honda Amaze,Honda,Amaze,2020,148752,Diesel,Automatic,627045
Mahindra XUV300,Mahindra,XUV300,2007,184590,Diesel,Manual,1026406
Mahindra XUV300,Mahindra,XUV300,2013,74417,Petrol,Automatic,979269
Hyundai i10,Hyundai,i10,2023,66934,Petrol,Automatic,1298134
Mahindra Scorpio,Mahindra,Scorpio,2021,81788,Petrol,Manual,924392
Volkswagen Polo,Volkswagen,Polo,2021,188750,Petrol,Automatic,785912
Toyota Fortuner,Toyota,Fortuner,2021,166797,Diesel,Manual,278809
Mahindra Scorpio,Mahindra,Scorpio,2017,93320,Diesel,Manual,821257
Mahindra XUV300,Mahindra,XUV300,2018,179041,Petrol,Automatic,771309
Toyota Fortuner,Toyota,Fortuner,2021,37831,CNG,Manual,691645
Toyota Glanza,Toyota,Glanza,2019,179802,CNG,Automatic,613682
Toyota Glanza,Toyota,Glanza,2021,175363,Petrol,Manual,72922
Toyota Fortuner,Toyota,Fortuner,2021,119590,Diesel,Manual,1056852
Volkswagen Vento,Volkswagen,Vento,2016,175879,CNG,Automatic,1254270
Renault Kwid,Renault,Kwid,2006,189300,CNG,Automatic,1094715
Ford Endeavour,Ford,Endeavour,2009,78105,Petrol,Automatic,1040044
Toyota Fortuner,Toyota,Fortuner,2006,161029,CNG,Automatic,631732
Toyota Glanza,Toyota,Glanza,2007,94981,Diesel,Manual,1026144
Tata Nexon,Tata,Nexon,2023,136204,Petrol,Manual,1055530
Volkswagen Vento,Volkswagen,Vento,2023,121981,Petrol,Manual,302489
Volkswagen Polo,Volkswagen,Polo,2005,154122,Petrol,Manual,989084
Ford Endeavour,Ford,Endeavour,2005,73530,Petrol,Manual,577117
Toyota Innova,Toyota,Innova,2016,77823,Diesel,Automatic,233787
Mahindra XUV300,Mahindra,XUV300,2019,50535,Diesel,Manual,306998
Kia Sonet,Kia,Sonet,2015,47428,CNG,Automatic,1156484
Honda City,Honda,City,2015,124097,CNG,Automatic,844301
Ford EcoSport,Ford,EcoSport,2016,146136,CNG,Manual,417035
Mahindra XUV300,Mahindra,XUV300,2007,170454,CNG,Automatic,831450
Maruti Baleno,Maruti,Baleno,2020,164388,CNG,Automatic,324283
Ford Endeavour,Ford,Endeavour,2018,17814,Petrol,Automatic,1026919
Ford EcoSport,Ford,EcoSport,2009,93389,CNG,Automatic,383418
Volkswagen Vento,Volkswagen,Vento,2008,168977,Petrol,Automatic,1149811
Hyundai i10,Hyundai,i10,2011,98179,CNG,Automatic,197796
Honda Amaze,Honda,Amaze,2012,124576,Petrol,Automatic,1129929
Toyota Fortuner,Toyota,Fortuner,2008,112167,Petrol,Manual,171492
Honda Jazz,Honda,Jazz,2023,30358,Diesel,Manual,1330386
Honda Amaze,Honda,Amaze,2023,67100,Petrol,Manual,1035923
Toyota Fortuner,Toyota,Fortuner,2006,61785,Diesel,Manual,754648
Toyota Glanza,Toyota,Glanza,2012,129475,CNG,Automatic,364517
Tata Tiago,Tata,Tiago,2016,7012,Petrol,Manual,257794
Honda Amaze,Honda,Amaze,2023,18048,Diesel,Automatic,1406706
Maruti WagonR,Maruti,WagonR,2023,129459,CNG,Manual,894891
Ford Endeavour,Ford,Endeavour,2019,15778,Petrol,Manual,1310739
Honda Amaze,Honda,Amaze,2007,43060,Petrol,Automatic,654811
Toyota Fortuner,Toyota,Fortuner,2007,82967,Diesel,Automatic,50000
Maruti Dzire,Maruti,Dzire,2015,63968,Petrol,Automatic,618967
Renault Duster,Renault,Duster,2011,189412,CNG,Automatic,664635
Honda Jazz,Honda,Jazz,2012,132309,CNG,Manual,782596
Honda City,Honda,City,2010,75436,Diesel,Automatic,343877
Hyundai i10,Hyundai,i10,2016,84149,Petrol,Manual,877183
Tata Altroz,Tata,Altroz,2005,47003,Diesel,Manual,285156
Volkswagen Vento,Volkswagen,Vento,2005,41297,CNG,Automatic,590345
Renault Duster,Renault,Duster,2022,127914,Diesel,Manual,886879
Toyota Glanza,Toyota,Glanza,2015,88938,CNG,Manual,1211441
Mahindra XUV300,Mahindra,XUV300,2010,141019,Diesel,Manual,1270934
